dataset,Baseline_balanced_accuracy,Baseline_f1_macro,Baseline_g_mean,RandomOverSampler_balanced_accuracy,RandomOverSampler_f1_macro,RandomOverSampler_g_mean,SMOTE_balanced_accuracy,SMOTE_f1_macro,SMOTE_g_mean,BorderlineSMOTE_balanced_accuracy,BorderlineSMOTE_f1_macro,BorderlineSMOTE_g_mean,SVMSMOTE_balanced_accuracy,SVMSMOTE_f1_macro,SVMSMOTE_g_mean,ADASYN_balanced_accuracy,ADASYN_f1_macro,ADASYN_g_mean,KMeansSMOTE_balanced_accuracy,KMeansSMOTE_f1_macro,KMeansSMOTE_g_mean,SMOTEENN_balanced_accuracy,SMOTEENN_f1_macro,SMOTEENN_g_mean,SMOTETomek_balanced_accuracy,SMOTETomek_f1_macro,SMOTETomek_g_mean,RandomUnderSampler_balanced_accuracy,RandomUnderSampler_f1_macro,RandomUnderSampler_g_mean,TomekLinks_balanced_accuracy,TomekLinks_f1_macro,TomekLinks_g_mean,ENN_balanced_accuracy,ENN_f1_macro,ENN_g_mean,NCR_balanced_accuracy,NCR_f1_macro,NCR_g_mean
rand_0060_s_curve_circles_gaussian_quantiles_c3_f10,0.3995590553006072,0.3812742380247361,0.31887438223543907,0.39484303822539113,0.3754115438640971,0.32567660658488656,0.39259749139286065,0.3546363285242827,0.35719077759568113,0.3935625023703872,0.3637069844644687,0.3261714375520803,0.3987465392346494,0.3569760677592922,0.3396804436797372,0.38886571176934126,0.3445549174677128,0.3488708780029055,0.3270868362389013,0.31865819927893696,0.07752978264372505,0.3809928656612011,0.29123168035014424,0.3705798246348293,0.3962710648411525,0.3518971354359002,0.36687633549181853,0.37317295820111845,0.29608077808816763,0.3615844309460286,0.3805704099821747,0.3568266320452444,0.27192001047827213,0.3786633017703105,0.3205824975187697,0.058805518532068196,0.3934487237835173,0.3573739395136619,0.15603142399002587
rand_0064_circles_moons_c4_f3,0.6377463369914796,0.5688713826895081,0.5450563966126204,0.6216783293286444,0.5678580207703536,0.5557695103788471,0.7252386790184358,0.6136635221670607,0.7004677775084583,0.6592026403541807,0.5800760922221031,0.4516642236808878,0.6664953954917635,0.5807313844557008,0.4614066104045311,0.7317972411848221,0.6311214453363165,0.7204510910147778,0.600834796415052,0.5650211516765776,0.4967704019581107,0.735966526811967,0.6246190619574423,0.7143959685210813,0.7324706013398469,0.6193200374288517,0.7135198914466856,0.25,0.010936245843366587,0.0,0.6323558643497817,0.5684875934852422,0.5534486824728425,0.5100178111413451,0.4415839112966246,0.0,0.563563010642041,0.5005965249055395,0.1377260996874546
rand_0077_moons_c3_f3,0.7181070115554089,0.610892893736979,0.7133445774062253,0.6746316839659566,0.5676436709409854,0.6698178677933403,0.7042488520825964,0.5801200377098982,0.7018674756962944,0.7062929104316917,0.5940549333227183,0.7022194118990935,0.6882735500558678,0.6250432404893381,0.6657987472884955,0.7139172433642317,0.558223736421212,0.7132474184405364,0.637044323042914,0.6092686990519808,0.5787370984591244,0.7058632023056116,0.5783768650683454,0.7048135659466729,0.7062448600666281,0.5830311786922174,0.703552624853789,0.6847285795330881,0.5110675235512835,0.6799442122233378,0.7219139181449855,0.6065869447139313,0.7185206015041373,0.7149979975446689,0.5725837786480121,0.7146998871961309,0.7175960517454002,0.5808718116150448,0.7172193659020278
rand_0083_circles_gaussian_quantiles_moons_s_curve_swiss_roll_c2_f5,0.7194380604300997,0.6775880050023351,0.7131110643374304,0.7158894621264297,0.6724534094571597,0.7103298056907076,0.7006085561200165,0.6493557498048027,0.6972533041823348,0.7083684770842952,0.6522770760027631,0.7052036202745077,0.6956287167011509,0.6799770685232386,0.6773660339445956,0.701351167932156,0.6263823352542115,0.700501684217783,0.7048853402416159,0.6590795706452465,0.7004554208544449,0.6966671823368706,0.6056422362014928,0.6951809456150323,0.7121150552216452,0.6566429040373528,0.7092561844715327,0.7005500194679738,0.607302030118332,0.697823647592324,0.7108429150968932,0.6605183678277267,0.7068014402865511,0.6974026239012959,0.5979294803162503,0.6925434673633727,0.6999080181991199,0.6035488788732227,0.6956295033662846
rand_0092_moons_s_curve_c4_f10,0.9070361290756027,0.886275221646843,0.9030311682910712,0.8887707687049792,0.8671658208761551,0.8832049658553788,0.8926931986142512,0.8566408923423822,0.8889845027316374,0.917304004475057,0.8738698986385716,0.9151392637239232,0.9046246151509311,0.8792378247564052,0.9021733823642554,0.9259808174281859,0.8561330586968766,0.9249224842643603,0.8697459338906709,0.8692335268209757,0.8586162090350898,0.8998245906140642,0.8588315005046873,0.8970632048494224,0.8958983268193794,0.8684150496096464,0.8918447683307466,0.868380522985786,0.7053426460804664,0.8672939643461884,0.8768316843974739,0.8452949556769607,0.8706067187302904,0.8911059700533385,0.8499629693233349,0.8872360002625523,0.8847643584485688,0.8507073383666298,0.8797940850830637
rand_0099_swiss_roll_s_curve_c4_f10,0.9236522413300289,0.9228236699387651,0.9223406240655917,0.9195867160836432,0.9216697348165415,0.9177732508228417,0.9149940616402424,0.9169059821056403,0.9132461090376799,0.9121242034718767,0.9185143783782245,0.9102960226843494,0.8968948313417145,0.9025037044781908,0.8929687375892564,0.9237254049238247,0.9277260539482771,0.9217984370314222,0.9155523054036004,0.9191486915627719,0.914128406740052,0.8882491866732428,0.8500170196631052,0.8866600544741924,0.9280479202779466,0.9301204337892109,0.9267959901541737,0.7636404984879523,0.677677691608145,0.7573104993061275,0.9133352366100391,0.8978596642407041,0.9119015384573904,0.791925676021374,0.7604093779732183,0.7806196402988759,0.869815146808123,0.8422586856291158,0.864465555949473
rand_0114_gaussian_quantiles_circles_swiss_roll_c10_f2,0.7714608890620229,0.17278452369324418,0.35542298094045516,0.7550118135523198,0.17023804597388595,0.5041977519930482,0.7713636101821905,0.17312876530280663,0.376456616755419,0.7435654628206251,0.17271019404073454,0.5389072346937515,0.7422440218967411,0.17370545069342072,0.5667205070671687,0.7723084633905971,0.17158895831520737,0.4875115409844797,0.6078743774969372,0.18271036802055454,0.49381946256211645,0.7755580281994922,0.1771008236335844,0.6023793055353802,0.7660557439593654,0.17230167368663563,0.3647149888143528,0.7399425357548254,0.1357851050515452,0.0,0.6996257986121078,0.17456811316793727,0.5167367698419455,0.1936500112332169,0.10782796090603484,0.0,0.19452435165784435,0.12161038695642794,0.0
rand_0127_s_curve_moons_c7_f5,0.3838122029411153,0.36916239814171053,0.0,0.38012388887544274,0.3521327914224443,0.0,,,,0.44765424792421044,0.4119965086396197,0.0,,,,,,,,,,,,,,,,0.14285714285714285,0.0007185445870681425,0.0,0.33643519442790826,0.3144998707458379,0.0,0.34670715696890503,0.28903044886451146,0.0,0.3523473887014625,0.2987047960818005,0.0
rand_0132_swiss_roll_c5_f100,0.9186888378375726,0.9082475370179627,0.9179655990144636,0.9218919112635139,0.9132014886428078,0.9213445101755949,0.9208446841613949,0.9153517466949666,0.9203651851016114,0.9060544018417546,0.8929636363628434,0.905205308494989,0.9242870645241498,0.9139237540900056,0.9238132027716981,0.9114041965002689,0.8986431046864657,0.9107681788890142,0.9086706270095565,0.8998592558815424,0.9080684902159061,0.9054961568953152,0.8899491674366197,0.90492044803816,0.9149005392874253,0.9089209426643977,0.9142845185108053,0.9048236038428547,0.8858168533953714,0.9033248679262836,0.9173361483157562,0.9092514391128496,0.916071056264654,0.8962004398516475,0.8813352023889616,0.8929885519245283,0.9033075705398278,0.8920369122822821,0.9007863739031464
rand_0136_s_curve_c4_f20,0.9509467520027864,0.9509636430216996,0.9508158094156625,0.9499943710504056,0.9500064873287549,0.94985332181266,0.9509467520027864,0.9509521802282258,0.9508102077747732,0.950470561526596,0.9504735023558917,0.9503213860916556,0.9499943710504056,0.9499952567258679,0.9498477371221975,0.9571259702940738,0.9571880146990902,0.9570700940253055,0.950470561526596,0.9504839848665328,0.9503414230491876,0.9404678247997214,0.9405037150235801,0.9403130534299532,0.9499916343235308,0.9499936984057421,0.9498438570337197,0.9495181805742151,0.9495223088935707,0.9493804301965222,0.9509440152759119,0.9509501125759655,0.9508189087323012,0.9418991329551675,0.9418952001296542,0.9416609023785943,0.9485685052495397,0.9485330965256024,0.948408273565995
