dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda,cluster,dist_to_centroid,is_representative
openml_44721_jungle_chess_2pcs_raw_end,real_openml_multiclass,real_openml,5.3041,3,6,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.5246702833685171,0.2855003806484178,0.6937736782096161,0.1980726492126983,5.309677419354839,2.649904625561177,0.3741490208064536,0.1678041467396586,0.4197078064738776,0.1493381291870936,1.3494894294961377,0.021927512944254,0.0162666201907669,0.0219412262106356,0.0162767931865085,1.0006253908692904,0.0661221205482807,16.918867495270906,0.9384469654888826,0.0852672167825834,1.0,0.0,1.0,0.0,1.0,0.0,3.9196316578476114,0.3278967512556405,0.4905781940188204,0.99605078125,0.0797623972097033,0.065937975806518,0.415,0.4008838241662504,0.1502886024046415,0.25125,0.4338675929129906,6.0,3.0,1600.0,0.4678721537095271,0.3746111624593289,0.3811128291751407,,0.520625,0.6526150600065795,32,0.6548255312352513,False
openml_44722_jungle_chess_2pcs_raw_end,real_openml_multiclass,real_openml,5.3041,3,6,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.5246702833685171,0.3000021940849455,0.6781748613599515,0.2034539463812392,5.309677419354839,2.6077682629837446,0.4412092805995273,0.1678041467396586,0.4228895476810483,0.1930045241194664,1.3494894294961377,0.0200857510304554,0.0168775333315345,0.0200983124757527,0.0168880883867761,1.000625390869292,0.0634098978918236,18.223947609808786,0.9350626793246778,0.0904297258508736,1.0,0.0,1.0,0.0,1.0,0.0,3.883207357262183,0.3999724672404539,0.54473208934739,0.996318359375,0.0740503352176997,0.0669633314298835,0.43,0.4185520856620577,0.1497852839434212,0.281875,0.4500534156331633,6.0,3.0,1600.0,0.4678721537095271,0.394921885406345,0.4553678319701189,,0.545,0.6307454216153991,32,0.6507477157298802,True
openml_44733_volkert_seed_0_nrows_2000,real_openml_multiclass,real_openml,9.3404,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.6963296633061096,1.082881082082218,1.620979782140203,1.7553283405173812,9.236842105263158,2.420627522871717,1.3523359662774217,0.0589012534067938,0.4363201854720775,0.1993654319921434,2.963524405637425,,,0.1299333396508057,0.1913091023234835,0.8505315822388988,2.3401696895574724,13.846168876407797,,,,,0.7181702985060064,0.2055707355017429,0.0042198993418505,0.0283079453597534,5.170119842659972,1.2301996915762148,4.583399334902836,0.99704453125,0.2140320858491704,0.1634804802782507,0.659375,0.496423787636314,0.0597828436049235,0.536875,0.498794277941635,100.0,10.0,1600.0,0.6668865797621143,2.031350342040805,2.860956297259884,,0.9475,0.0590521631823529,75,0.4749511261257822,False
openml_44734_volkert_seed_1_nrows_2000,real_openml_multiclass,real_openml,9.3404,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.6963296633061096,0.9031118948536736,1.3730635925852688,1.2400300628542744,9.236842105263158,2.439625946157127,1.40285297745793,0.0589012534067938,0.4136967031942406,0.2050290584639164,2.963524405637425,,,0.133771318029226,0.2059452424749364,0.8205128205128193,2.4858080080513645,13.905998009120855,,,,,0.710733463406044,0.2026033411883092,0.0024003097173828,0.0161017670853643,5.190039117081756,1.2747015950254588,4.067444124192047,0.99803515625,0.2131112347127957,0.1567375046879104,0.683125,0.5010706099289818,0.0520743660753532,0.531875,0.4991389552874313,100.0,10.0,1600.0,0.6668865797621143,1.876599978620853,2.59465417535387,,0.95875,0.0759743678197024,75,0.41583536187691883,False
openml_44735_volkert_seed_2_nrows_2000,real_openml_multiclass,real_openml,9.3404,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.6963296633061096,0.7660531920860478,1.506274009789876,1.1538860133557851,9.236842105263158,2.3972597571310907,1.4199510175725076,0.0589012534067938,0.4445203052357943,0.2038556330233521,2.963524405637425,,,0.1251416160939091,0.1998067536095211,0.8105065666041285,2.3902214986572248,12.76682682204077,,,,,0.6761923169158907,0.1946789071972406,0.0042617530422408,0.0200144391685842,5.128657225750684,1.2782669981976722,4.892325889660262,0.9972328125,0.2321269370178319,0.1676872813100997,0.660625,0.4911508868515258,0.0721849830886962,0.513125,0.4999839741021449,100.0,10.0,1600.0,0.6668865797621143,2.1108416688251266,3.068649847250481,,0.923125,0.0516019329127655,75,0.2607525198446754,False
openml_44736_volkert_seed_3_nrows_2000,real_openml_multiclass,real_openml,9.3404,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.6963296633061096,0.828211891579549,1.5708456916810671,1.3009930816867616,9.236842105263158,2.4868216507690493,1.372200927491824,0.0589012534067938,0.4350803294320426,0.2027828642596464,2.963524405637425,,,0.1313428911268183,0.1967449240624745,0.8305190744215122,2.395385898853659,13.508574735768631,,,,,0.7004892299403226,0.2245501754694953,0.0019357336430507,0.0129852960365841,5.230965073319452,1.2494630048614292,4.073026544443254,0.99716484375,0.2193809830870215,0.1577661034266496,0.6575,0.4907339054422048,0.0635039096310564,0.49125,0.5000797309788059,100.0,10.0,1600.0,0.6668865797621143,2.0326211578270224,2.2339466687276497,,0.93875,0.0651444244694758,75,0.25140072847726147,True
openml_44737_volkert_seed_4_nrows_2000,real_openml_multiclass,real_openml,9.3404,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.6963296633061096,0.8089678502565776,1.3869113699102444,1.1219667094126955,9.236842105263158,2.5163693462191765,1.3638127093610268,0.0589012534067938,0.4358763356530201,0.1968564735432443,2.963524405637425,,,0.1390373343500414,0.2020186951277362,0.8405253283302063,2.479797634597805,13.277698450822554,,,,,0.7277999468131037,0.187153314983598,0.0018970189701897,0.0127255901158524,5.256698111692486,1.2382827505880167,4.280394065386063,0.997778125,0.2231956401641155,0.1640222691056641,0.656875,0.4968829026419342,0.0606260360620386,0.51,0.5000562820105716,100.0,10.0,1600.0,0.6668865797621143,2.0199133892477947,2.567409809008569,,0.94875,0.0636359268109197,75,0.3111838352029872,False
openml_44738_robert_seed_0_nrows_2000_,real_openml_multiclass,real_openml,1.0885,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0269548233160597,0.6200027017940859,0.4034602784787842,0.2501464627234405,1.091503267973856,3.4589895422182497,0.0007186454276344,8.978304541962245e-05,0.3837692113609969,0.1388514378921203,3.321405449538839,0.0857307910984698,0.1170889741214019,0.0857844063524401,0.1171622004967123,1.0006253908692933,1.4520045616647406,29.095309669214917,0.9479783999593332,0.0390567957430091,0.0016226607696737,0.0014499828579706,0.9369734652842074,0.0220923349618696,0.0,0.0,6.666238947800176,0.0619009422601968,2.0579317838211844,0.99910625,0.1141560439569111,0.0616176137815042,0.8575,0.5161347905220547,0.0275090524875049,0.74375,0.4366979828269512,100.0,10.0,1600.0,0.0231983778535484,1.4797470427354489,0.81502693066332,1.453011245366758,0.999375,0.1782378725566847,84,0.13581921609757142,False
openml_44739_robert_seed_1_nrows_2000_,real_openml_multiclass,real_openml,1.0942,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0273861278752583,0.7057587881539856,0.3990394666560439,0.2816256104127823,1.091503267973856,3.459128513621481,0.0002820203856511,9.267002427992832e-05,0.3799076252969263,0.1342232226278323,3.32138843606479,0.0781038480563597,0.1107469622257126,0.0781526934897908,0.1108162223646905,1.0006253908692928,1.3559350199514013,34.91193015635895,0.955238246915988,0.0395910860874885,0.0020519682543998,0.0012549778722707,0.9479820491343408,0.0108166042759407,0.0,0.0,6.685380747786538,0.0553310374601982,1.968798789262019,0.999113671875,0.0951362018997343,0.0552215205685995,0.855,0.5136836883290276,0.0263686146162348,0.730625,0.4437738093569396,100.0,10.0,1600.0,0.023139395999288,1.4430952217695534,0.7607590209479267,1.423140135485017,0.999375,0.188590990930642,84,0.16119298353431127,False
openml_44740_robert_seed_2_nrows_2000_,real_openml_multiclass,real_openml,1.0885,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0269548233160597,0.5982224505207439,0.3813443710677253,0.2281287641524265,1.091503267973856,3.458850196925113,0.0014299614862347,8.978304541962245e-05,0.3822521358270552,0.1250390982177265,3.321405449538839,0.0768830894892297,0.1156709863684941,0.0769311714713994,0.1157433259472111,1.000625390869293,1.389684002862242,31.27099497149125,0.956087884528632,0.0344420487418759,0.0015529791568235,0.0015586431867833,0.941124748048092,0.0192575195644998,0.0,0.0,6.674042030537536,0.0558790021096084,1.9256248067603323,0.999137109375,0.1062136159264154,0.0551802057368256,0.854375,0.5152417544036916,0.0245948727849948,0.76375,0.4249103205239958,100.0,10.0,1600.0,0.0231983778535484,1.4401284667639274,0.6831083011488099,1.4343050482525903,1.0,0.1918625839393974,84,0.08609688618866955,True
openml_44741_robert_seed_3_nrows_2000_,real_openml_multiclass,real_openml,1.0833,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0260708170182677,0.608859950800881,0.3725014788968329,0.226801232114381,1.0849673202614378,3.458786627854041,0.00145509631179,8.395456577414695e-05,0.383132988911782,0.1341263167500742,3.3214385426920274,0.0843419977503471,0.121644660194278,0.0843947444656381,0.1217207356540618,1.0006253908692937,1.4810610136959883,32.076247386195966,0.954591822476672,0.0305022224178235,0.0027830637296152,0.0016606070029614,0.9494257499254078,0.0129671411873964,0.0,0.0,6.67667694363841,0.0481001381166821,1.9826342202682252,0.999108203125,0.1035482269076591,0.0472235245522899,0.863125,0.5154909314665176,0.0267480194133653,0.743125,0.4370464682211897,100.0,10.0,1600.0,0.0221468819656706,1.4650369354918111,0.6916330916907469,1.4431655521606828,0.99875,0.1846725647155201,84,0.09630319360690605,False
openml_44742_robert_seed_4_nrows_2000_,real_openml_multiclass,real_openml,1.0833,10,100,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.0260708170182677,0.624118746966539,0.3189223545156885,0.1990454202799498,1.0849673202614378,3.458996095706563,0.0007985750883291,8.395456577414695e-05,0.3769556997452958,0.1281692554679991,3.3214385426920274,0.0853340037561317,0.1193968723855058,0.085387370862921,0.1194715420993178,1.0006253908692933,1.468385812698609,34.22963328645842,0.9573747759613336,0.0302933683227252,0.0010361807815575,0.0007694357323851,0.939986515217318,0.0179905827067657,0.0,0.0,6.683400629448047,0.050139366869056,1.8667296574039212,0.999083203125,0.0970340089505434,0.049787291971316,0.864375,0.5150759600168768,0.0268392492186305,0.748125,0.4342255511462823,100.0,10.0,1600.0,0.0221468819656706,1.4102792605119605,0.6566827738876733,1.4272038410289034,0.999375,0.1999159701072672,84,0.10466055852605874,False
openml_44743_shuttle_seed_0_nrows_2000,real_openml_multiclass,real_openml,786.0,5,9,400,1600,0.0,0.0,,0.0,0.0,False,1600,1.4913277955399342,2.5982882203446893,210.7032664753183,547.4678152709675,629.0,2.6905482597754125,0.830762193223085,0.6813795716758236,0.3724952858414824,0.3888992252899973,0.9589353757410476,0.2044180688787774,0.2750340590353339,0.2045459100725725,0.2752060628245986,1.000625390869295,1.0194420350523372,3.5787368274763245,0.7205262988280753,0.2795841939146586,3.76785914590572e-07,8.30827082725719e-07,0.0270219655700475,0.0837950706071063,0.0,0.0,3.381530046870693,0.7227982052407355,7.776074969121871,0.812408984375,0.2679535886457668,0.2218003898112701,0.013125,0.0507784362607363,0.0668348393382275,0.003125,0.0558317348300573,9.0,5.0,1600.0,1.63978918667687,1.008738774189991,7.64306257402337,,0.025625,0.1017357372334089,114,0.5892423836419601,True
openml_44744_shuttle_seed_1_nrows_2000,real_openml_multiclass,real_openml,786.0,5,9,400,1600,0.0,0.0,,0.0,0.0,False,1600,1.4913277955399342,2.432012637653266,72.2260871781428,175.6547567854898,629.0,2.7848398528598968,0.687588460907118,0.6813795716758236,0.3456506972531351,0.3956630894976963,0.9589353757410476,0.1960405119506823,0.2773612306870826,0.1961631138968683,0.2775346898682511,1.0006253908692924,1.010095473698289,3.6082478923464576,0.7352455030794187,0.2759565618641986,4.545561242687159e-09,1.3783131048975034e-08,0.0221523698446337,0.0686722248513452,0.0,0.0,3.4780131733455195,0.6062597409170877,6.475306186785788,0.783941015625,0.2657620552554243,0.2218567973154131,0.020625,0.0767695549481897,0.0916910420268653,0.006875,0.0826559397607702,9.0,5.0,1600.0,1.63978918667687,0.9475454592188997,6.389049531974583,,0.0325,0.1243637469883889,114,0.5892423836419602,False
openml_44745_shuttle_seed_2_nrows_2000,real_openml_multiclass,real_openml,786.0,5,9,400,1600,0.0,0.0,,0.0,0.0,False,1600,1.4913277955399342,0.4039248526880857,9.108431725488574,3.679121942937458,629.0,2.818426847216067,0.7027048717209775,0.6813795716758236,0.5140075969677996,0.4232492568595632,0.9589353757410476,0.244346178256102,0.2950608767079092,0.2444989901249313,0.2952454050860896,1.000625390869298,1.1405060220195822,3.482198566294837,0.7008442666426143,0.2941200341093442,4.2711280015881847e-10,1.3506492663141931e-09,0.0214903526280771,0.0679584620249092,0.0,0.0,3.501980059222155,0.6086811474203969,8.25521893899838,0.725253515625,0.27538216373496,0.2444637554884648,0.020625,0.0562239933225816,0.0837528701253511,0.00875,0.093160408911822,9.0,5.0,1600.0,1.63978918667687,1.5942350392589657,6.132897554117438,,0.02875,0.0430470584251248,29,0.0,True
openml_44746_shuttle_seed_3_nrows_2000,real_openml_multiclass,real_openml,786.0,5,9,400,1600,0.0,0.0,,0.0,0.0,False,1600,1.4913277955399342,0.6764716701240978,8.505146623773651,5.7534907412344936,629.0,2.7233357737738384,0.7837080350917969,0.6813795716758236,0.350387872585516,0.399730353962008,0.9589353757410476,0.2104746192202928,0.2784923823050045,0.2106062481253714,0.2786665488980663,1.000625390869293,1.0385935555592218,3.626386082789746,0.7228393691094714,0.2800479756797702,1.0212881009623427e-09,3.2295965462690062e-09,0.025626749200654,0.0782352379155892,0.0,0.0,3.417838363306048,0.6889071006372868,7.09525722169614,0.795272265625,0.2644327862088383,0.2275401381577584,0.019375,0.0702028430654222,0.0916943989523841,0.0075,0.0863041438940408,9.0,5.0,1600.0,1.63978918667687,0.970439712655792,6.993931768888609,,0.025,0.1133757644192225,64,0.7250239479825283,True
openml_44747_shuttle_seed_4_nrows_2000,real_openml_multiclass,real_openml,786.0,5,9,400,1600,0.0,0.0,,0.0,0.0,False,1600,1.4913277955399342,1.0584993044944997,11.280030099935074,11.939904015458294,629.0,2.79281015811298,0.6958457281323638,0.6813795716758236,0.4232313055919899,0.3845781049075436,0.9589353757410476,0.1951383434589158,0.2876992266090647,0.1952603811971643,0.2878791510784892,1.000625390869296,1.0335814420799094,3.695365809016949,0.7260440773007073,0.2736508612480439,,,0.0233343899239187,0.0713062108121861,0.0,0.0,3.4922487951546604,0.6124530324835628,7.9957535704087155,0.824092578125,0.2594967386993674,0.2198787509710184,0.013125,0.0693912093147216,0.0780326531377219,0.00375,0.0611414255738345,9.0,5.0,1600.0,1.63978918667687,1.1601999084552346,7.649643902456787,,0.024375,0.0849669393731371,64,0.7250239479825288,False
openml_44768_okcupid-stem_seed_0_nrows,real_openml_multiclass,real_openml,7.4583,3,19,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.8187323471379399,0.4084474723732172,0.614215332251029,0.2508746999508086,7.435064935064935,1.9069699013088997,0.984573109570623,0.4745509089719933,0.360991770898208,0.0664921076028869,1.1239182797817773,0.0490117229557845,0.0635600176474876,0.0490423744398096,0.0635997675021765,1.000625390869297,0.3494312188535051,46.12052185719718,0.9832263511542596,0.0303432070464503,0.2881695903675285,0.2079804023223728,0.926057686910753,0.0673301802738818,0.87466370456893,0.0995615539289285,3.006519023186051,0.9724798179721654,0.3090795196468618,0.99656171875,0.0243691579046256,0.0320370080509926,0.505625,0.4730132739659672,0.0838984640308929,0.36375,0.4812282986505873,19.0,3.0,1600.0,0.5176329336744254,0.2650513176859225,0.1997185560058748,,0.815625,0.7513594345938381,55,1.223014471716389,False
openml_44769_okcupid-stem_seed_1_nrows,real_openml_multiclass,real_openml,7.4583,3,19,400,1600,0.0,0.0,,0.0,0.0,False,1600,0.8187323471379399,0.5989761598280083,0.6242347460313603,0.3739017310090762,7.435064935064935,1.938783302247464,0.9847598848102748,0.4745509089719933,0.3472584886954768,0.0929021052787577,1.1239182797817773,0.0481570965912217,0.060115291392385,0.0481872135997217,0.0601528869467276,1.0006253908692933,0.3353582096778137,45.41071957857051,0.9843909791082504,0.0279298617275841,0.129002379809884,0.0556603706314022,0.9411755782391988,0.0463631688239259,0.8863048822954145,0.0748593779129298,3.037951516621509,0.971195121752232,0.2916923590204652,0.99744375,0.0247500654077315,0.0371943758528252,0.536875,0.4787453295128484,0.0873687451989381,0.39125,0.488182741392115,19.0,3.0,1600.0,0.5176329336744254,0.2498077171073586,0.2055860087055632,,0.835,0.7637117067671001,112,1.4093613845512714,False
