sampler,n_train_before,n_train_after,ir_before,ir_after,n3_before,n3_after,f1_fisher_mean_before,f1_fisher_mean_after,f2_overlap_mean_before,f2_overlap_mean_after,status,dataset_id,dataset_name,group,ir_level,overlap_level,cluster_level
NoSampler,2400.0,2400.0,2.258,2.258,0.039,0.039,0.287,0.287,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,baseline,low_ir,low_overlap,low_clusters
distance_SMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.289,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
cluster_SMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.29,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
CBSO,2400.0,2512.0,2.258,2.258,0.039,0.036,0.287,0.276,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
AHC,2400.0,2268.0,2.258,1.729,0.039,0.001,0.287,0.201,0.752,0.751,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
DBSMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.286,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
MWMOTE,2400.0,2512.0,2.258,2.258,0.039,0.037,0.287,0.287,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,smote_variants,low_ir,low_overlap,low_clusters
SMOTE,2400.0,3324.0,2.258,1.0,0.039,0.015,0.287,0.296,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
BorderlineSMOTE,2400.0,3324.0,2.258,1.0,0.039,0.02,0.287,0.275,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
SVMSMOTE,2400.0,3324.0,2.258,1.0,0.039,0.016,0.287,0.247,0.752,0.74,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
ADASYN,2400.0,3349.0,2.258,1.024,0.039,0.018,0.287,0.218,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
KMeansSMOTE,2400.0,3328.0,2.258,1.002,0.039,0.021,0.287,0.349,0.752,0.752,ok,1,low_ir__low_overlap__low_clusters,imbalanced_learn,low_ir,low_overlap,low_clusters
NoSampler,2400.0,2400.0,2.319,2.319,0.089,0.089,0.142,0.142,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,baseline,low_ir,low_overlap,medium_clusters
distance_SMOTE,2400.0,2515.0,2.319,2.319,0.089,0.08,0.142,0.141,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,smote_variants,low_ir,low_overlap,medium_clusters
cluster_SMOTE,2400.0,2515.0,2.319,2.319,0.089,0.08,0.142,0.139,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,smote_variants,low_ir,low_overlap,medium_clusters
CBSO,2400.0,2515.0,2.319,2.319,0.089,0.087,0.142,0.136,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,smote_variants,low_ir,low_overlap,medium_clusters
AHC,2400.0,2274.0,2.319,1.723,0.089,0.013,0.142,0.117,0.767,0.755,ok,2,low_ir__low_overlap__medium_clusters,smote_variants,low_ir,low_overlap,medium_clusters
DBSMOTE,2400.0,2515.0,2.319,2.319,0.089,0.083,0.142,0.138,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,smote_variants,low_ir,low_overlap,medium_clusters
MWMOTE,2400.0,2515.0,2.319,2.319,0.089,0.079,0.142,0.136,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,smote_variants,low_ir,low_overlap,medium_clusters
SMOTE,2400.0,3340.0,2.319,1.0,0.089,0.037,0.142,0.149,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,imbalanced_learn,low_ir,low_overlap,medium_clusters
BorderlineSMOTE,2400.0,3340.0,2.319,1.0,0.089,0.039,0.142,0.118,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,imbalanced_learn,low_ir,low_overlap,medium_clusters
SVMSMOTE,2400.0,3340.0,2.319,1.0,0.089,0.036,0.142,0.122,0.767,0.776,ok,2,low_ir__low_overlap__medium_clusters,imbalanced_learn,low_ir,low_overlap,medium_clusters
ADASYN,2400.0,3272.0,2.319,1.096,0.089,0.031,0.142,0.121,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,imbalanced_learn,low_ir,low_overlap,medium_clusters
KMeansSMOTE,2400.0,3349.0,2.319,1.007,0.089,0.052,0.142,0.168,0.767,0.767,ok,2,low_ir__low_overlap__medium_clusters,imbalanced_learn,low_ir,low_overlap,medium_clusters
NoSampler,2400.0,2400.0,2.329,2.329,0.155,0.155,0.088,0.088,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,baseline,low_ir,low_overlap,high_clusters
distance_SMOTE,2400.0,2517.0,2.329,2.329,0.155,0.14,0.088,0.086,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,smote_variants,low_ir,low_overlap,high_clusters
cluster_SMOTE,2400.0,2517.0,2.329,2.329,0.155,0.139,0.088,0.085,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,smote_variants,low_ir,low_overlap,high_clusters
CBSO,2400.0,2517.0,2.329,2.329,0.155,0.149,0.088,0.084,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,smote_variants,low_ir,low_overlap,high_clusters
AHC,2400.0,2273.0,2.329,1.719,0.155,0.024,0.088,0.042,0.807,0.83,ok,3,low_ir__low_overlap__high_clusters,smote_variants,low_ir,low_overlap,high_clusters
DBSMOTE,2400.0,2517.0,2.329,2.329,0.155,0.141,0.088,0.085,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,smote_variants,low_ir,low_overlap,high_clusters
MWMOTE,2400.0,2517.0,2.329,2.329,0.155,0.141,0.088,0.086,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,smote_variants,low_ir,low_overlap,high_clusters
SMOTE,2400.0,3344.0,2.329,1.0,0.155,0.077,0.088,0.094,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,imbalanced_learn,low_ir,low_overlap,high_clusters
BorderlineSMOTE,2400.0,3344.0,2.329,1.0,0.155,0.066,0.088,0.075,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,imbalanced_learn,low_ir,low_overlap,high_clusters
SVMSMOTE,2400.0,3344.0,2.329,1.0,0.155,0.07,0.088,0.079,0.807,0.8,ok,3,low_ir__low_overlap__high_clusters,imbalanced_learn,low_ir,low_overlap,high_clusters
ADASYN,2400.0,3268.0,2.329,1.053,0.155,0.05,0.088,0.079,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,imbalanced_learn,low_ir,low_overlap,high_clusters
KMeansSMOTE,2400.0,3352.0,2.329,1.007,0.155,0.1,0.088,0.162,0.807,0.807,ok,3,low_ir__low_overlap__high_clusters,imbalanced_learn,low_ir,low_overlap,high_clusters
NoSampler,2400.0,2400.0,2.298,2.298,0.102,0.102,0.179,0.179,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,baseline,low_ir,medium_overlap,low_clusters
distance_SMOTE,2400.0,2515.0,2.298,2.298,0.102,0.094,0.179,0.18,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,smote_variants,low_ir,medium_overlap,low_clusters
cluster_SMOTE,2400.0,2515.0,2.298,2.298,0.102,0.095,0.179,0.182,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,smote_variants,low_ir,medium_overlap,low_clusters
CBSO,2400.0,2515.0,2.298,2.298,0.102,0.098,0.179,0.178,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,smote_variants,low_ir,medium_overlap,low_clusters
AHC,2400.0,2271.0,2.298,1.723,0.102,0.02,0.179,0.139,0.782,0.778,ok,4,low_ir__medium_overlap__low_clusters,smote_variants,low_ir,medium_overlap,low_clusters
DBSMOTE,2400.0,2515.0,2.298,2.298,0.102,0.094,0.179,0.179,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,smote_variants,low_ir,medium_overlap,low_clusters
MWMOTE,2400.0,2515.0,2.298,2.298,0.102,0.095,0.179,0.18,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,smote_variants,low_ir,medium_overlap,low_clusters
SMOTE,2400.0,3336.0,2.298,1.0,0.102,0.054,0.179,0.199,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,imbalanced_learn,low_ir,medium_overlap,low_clusters
BorderlineSMOTE,2400.0,3336.0,2.298,1.0,0.102,0.053,0.179,0.145,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,imbalanced_learn,low_ir,medium_overlap,low_clusters
SVMSMOTE,2400.0,3336.0,2.298,1.0,0.102,0.052,0.179,0.147,0.782,0.776,ok,4,low_ir__medium_overlap__low_clusters,imbalanced_learn,low_ir,medium_overlap,low_clusters
ADASYN,2400.0,3331.0,2.298,1.066,0.102,0.042,0.179,0.151,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,imbalanced_learn,low_ir,medium_overlap,low_clusters
KMeansSMOTE,2400.0,3341.0,2.298,1.004,0.102,0.07,0.179,0.284,0.782,0.782,ok,4,low_ir__medium_overlap__low_clusters,imbalanced_learn,low_ir,medium_overlap,low_clusters
NoSampler,2400.0,2400.0,2.312,2.312,0.188,0.188,0.066,0.066,0.827,0.827,ok,5,low_ir__medium_overlap__medium_clusters,baseline,low_ir,medium_overlap,medium_clusters
