dataset,Baseline_balanced_accuracy,Baseline_f1_macro,Baseline_g_mean,RandomOverSampler_balanced_accuracy,RandomOverSampler_f1_macro,RandomOverSampler_g_mean,SMOTE_balanced_accuracy,SMOTE_f1_macro,SMOTE_g_mean,BorderlineSMOTE_balanced_accuracy,BorderlineSMOTE_f1_macro,BorderlineSMOTE_g_mean,SVMSMOTE_balanced_accuracy,SVMSMOTE_f1_macro,SVMSMOTE_g_mean,ADASYN_balanced_accuracy,ADASYN_f1_macro,ADASYN_g_mean,KMeansSMOTE_balanced_accuracy,KMeansSMOTE_f1_macro,KMeansSMOTE_g_mean,SMOTEENN_balanced_accuracy,SMOTEENN_f1_macro,SMOTEENN_g_mean,SMOTETomek_balanced_accuracy,SMOTETomek_f1_macro,SMOTETomek_g_mean,distance_SMOTE_balanced_accuracy,distance_SMOTE_f1_macro,distance_SMOTE_g_mean,cluster_SMOTE_balanced_accuracy,cluster_SMOTE_f1_macro,cluster_SMOTE_g_mean,CBSO_balanced_accuracy,CBSO_f1_macro,CBSO_g_mean,DBSMOTE_balanced_accuracy,DBSMOTE_f1_macro,DBSMOTE_g_mean,MWMOTE_balanced_accuracy,MWMOTE_f1_macro,MWMOTE_g_mean,AHC_balanced_accuracy,AHC_f1_macro,AHC_g_mean
openml_375_JapaneseVowels,0.9703534261560104,0.9707905688284311,0.9699797732576143,0.9734660927702963,0.9729736548167879,0.9730690202471303,0.975769485155682,0.9754877337754058,0.97545548621025,0.9782165749953547,0.9775522399527797,0.9778404634892612,0.9783503497148838,0.9770501341901132,0.9780503630522064,0.9812361970206239,0.9800884558408127,0.9810347008973236,0.9768053584690032,0.9767605970614271,0.9765066688774583,0.9640005217587768,0.962563894639153,0.9633147902996859,0.9732044838233657,0.9730949221120159,0.9728483208037078,0.9751804837792319,0.9745584233652126,0.9748246855635357,0.9735215943801635,0.973072425846564,0.9731731874452585,0.9773406506363648,0.9766417894408386,0.9770891233628066,0.9701196883482704,0.9704303544442793,0.9695628989412917,0.9735361468311186,0.9726698663994946,0.9731206347647097,0.966505964618021,0.9636550746153103,0.9659135140417521
openml_40701_churn,0.8304766386776641,0.8683575409188644,0.8155556307700114,0.8695373971053262,0.8890761785656027,0.8624656285483778,0.8672627746266068,0.873902955714718,0.8613256938050257,0.8726087566773173,0.8737162009692799,0.8676957486841875,0.8831933883205774,0.8889519790643052,0.8787110966206327,0.870808873917387,0.8763805049961133,0.8653041246469426,0.8347658088326357,0.8491951328806315,0.8241608319723599,0.8430304081110314,0.7868191317597557,0.841622345900463,0.8672627746266068,0.873902955714718,0.8613256938050257,0.8441862961219957,0.8612448075205315,0.8344451338836084,0.871390946094337,0.8781061905242274,0.8658239829844036,0.8620241250340575,0.8588307503452509,0.8566544142625084,0.8736655685730563,0.8934261323473438,0.8670008571022496,0.876208522197178,0.8685485126769792,0.872374155061334,0.8482608013606454,0.8735914876064215,0.8379355082089573
openml_40708_allrep,0.5303571428571429,0.6079334786055764,0.45499414040480374,0.6296722113502935,0.6770911971105708,0.5619557635477385,0.677348336594912,0.6204443443071975,0.6403513685890317,0.6787181996086106,0.6649281652027019,0.641243846529588,0.6776908023483366,0.6346619360656904,0.6405748379542576,0.646098336594912,0.5952744225471498,0.5959140951416325,0.6790606653620352,0.6707996393181578,0.6414663847711463,0.735665362035225,0.6321173078326885,0.7069268223196655,0.6776908023483366,0.625216476313655,0.6405748379542576,0.6287181996086105,0.6331079818057199,0.5967446394497555,0.6478106653620352,0.6444396932745116,0.5969517346186858,0.6214408023483367,0.5992242648925905,0.576550302714712,0.5612646771037182,0.6337796296157955,0.5033612570226189,0.6780332681017612,0.6543633993687317,0.6407980736870272,0.5289872798434442,0.5710476405426953,0.45436957593973204
openml_41143_jasmine,0.8109470045565756,0.8072592419052081,0.7995700400110689,0.8193194316625889,0.8158712389481619,0.8083368439167999,0.8176415793135956,0.8142496253478912,0.8069124607063114,0.8142914861619268,0.8108413615928067,0.8035185580493281,0.8142914861619268,0.8108413615928067,0.8035185580493281,,,,0.8159693385109201,0.8124614470768317,0.8049419755655028,0.7875412448654351,0.7816229013833804,0.7706732675773523,0.8076025229512245,0.8036661566838726,0.7956019259887026,0.8126192453592511,0.8090516552055014,0.8015467303947331,0.8159637269646023,0.8126283953435289,0.8054855586867192,,,,0.8176471908599133,0.8140819236076786,0.8063628804235209,0.8142970977082444,0.8106705827564433,0.802966654856523,0.8159356692330139,0.8133950897931348,0.8079896649101415
openml_41719_FOREX_eurjpy-day-High,0.6123143196672609,0.6120391876600559,0.61100036807848,0.6070707070707071,0.6069728700618753,0.6063635606439157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41725_FOREX_eurcad-day-High,0.6540849673202614,0.6539406763930653,0.6540472290116195,0.64349376114082,0.6430093634210272,0.6430763851026167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41746_FOREX_cadchf-day-High,0.627429998216515,0.626691910754724,0.6269609864045265,0.6358569645086498,0.6348096001901027,0.6350164899998938,0.627429998216515,0.626691910754724,0.6269609864045265,0.6499019083288746,0.6482401979359382,0.6482199082121225,0.6090749658165389,0.6072766185125735,0.6071625276138752,,,,0.6548659413827953,0.6539098408738203,0.654154021693102,0.5201682420783544,0.5201473909425889,0.5200915441683696,0.613221568277748,0.6130071882611536,0.6132031251121329,0.6138755127519173,0.613053163053163,0.6133000665600727,0.6307294453361869,0.6292048020920005,0.6292325916230187,0.6224659651625943,0.6210733519034355,0.6211499333975847,0.6325575173889781,0.6321416638823922,0.6324132315599615,0.6361839367457345,0.634657672649471,0.6346887395316093,0.6237441293621069,0.6090992087644552,0.5989805659019999
openml_41750_FOREX_eurhuf-day-Close,0.48241549337610645,0.48228498455690183,0.4823258961166752,0.4989158201152498,0.49854452563417095,0.49849771343150767,0.47442523614328996,0.47397384388019576,0.4738764629694941,0.4877175785659122,0.4877041877041877,0.4877151795447254,0.49884156121903406,0.4986040986040986,0.4986168714859002,,,,0.48219271668745917,0.48219271668745917,0.48214110871594007,0.5427434206617953,0.5418227215980025,0.5414555588964312,0.47681637260143767,0.47680427680427684,0.47681341912134895,0.47703914929008495,0.47680427680427684,0.47681341912134895,0.5040693875126241,0.5040540540540541,0.5040676931641892,0.47681637260143767,0.47680427680427684,0.47681341912134895,0.47965306243687994,0.47956403269754766,0.47960854550138987,0.4960048713835918,0.49591280653950953,0.4959588368253009,0.4581328343135508,0.4271353646353646,0.3979690614218486
openml_41763_FOREX_audcad-hour-High,0.6700925502379025,0.6700037684475286,0.6700879402857086,0.6698329851795177,0.6695511023989265,0.669783800515924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41768_FOREX_eurnok-hour-High,0.6020848832261787,0.6020236446660245,0.5998225572558142,0.6025133714965896,0.6025727358627619,0.6018386512773919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41782_FOREX_usdjpy-hour-Close,0.5066328123030406,0.5065409312678064,0.5060589394714919,0.5067143046744795,0.5067057670071665,0.5065028859692206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41783_FOREX_eurdkk-day-Close,0.45999053030303033,0.4596582819174181,0.4577626440171541,0.48555871212121215,0.4855583251355409,0.4851609581396985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41788_FOREX_audnzd-day-High,0.6560121081340287,0.6560913990989032,0.6550492289114983,0.6465863453815262,0.6461368273923865,0.6462744639322551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41806_FOREX_audjpy-hour-Close,0.5030826480892269,0.5028457683929164,0.5022596081069802,0.5052028246523943,0.5050602341699315,0.5046350877692358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41816_FOREX_usddkk-hour-High,0.6109565531328142,0.6108681785796225,0.6073413174028705,0.6095544223917682,0.6096714079066898,0.6083587410975625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
openml_41862_FOREX_eurrub-hour-Close,0.605082447876645,0.6085491516617131,0.5722418423333312,0.6540895324668945,0.6450659436470756,0.6498017670110618,0.678535419224638,0.6534075739784059,0.678493654623343,0.6846480669343065,0.6557264482336809,0.6842264053417854,0.6785127846534064,0.6517963069665763,0.6783558335226094,0.6864833610548284,0.6592640198434656,0.6862818999746972,0.6300305105467328,0.6299500685761845,0.6139302822084305,0.7318608501092874,0.6672815313844105,0.7154790739587422,0.6773803535342859,0.651000807771196,0.6772530668882554,0.6696852102351515,0.6495408296076761,0.6695058821229081,0.6760258836860396,0.6534480408156915,0.6760137721376734,,,,,,,,,,0.6732883224062216,0.6521107998854302,0.6732052660223415
openml_41882_FOREX_audjpy-day-High,0.606949646275489,0.6069728700618753,0.6065257549923144,0.6203406456215446,0.6203401183343877,0.6195927138743179,0.6143956958563701,0.6141537360285729,0.612596893500644,0.6239670649783009,0.6238413547237076,0.6239669543503702,0.6233131205041318,0.6233490004759639,0.6229180292566098,,,,0.6257951370310921,0.6258028504446842,0.6250616758106892,0.527970988645146,0.5235205314009662,0.515902511126726,0.6039771713929016,0.6039519220034979,0.6031839898643517,0.6233131205041318,0.6233490004759639,0.6229180292566098,0.6203406456215446,0.6203401183343877,0.6195927138743179,0.6208311039771715,0.6208480434055521,0.6206712050540983,0.626285595386719,0.6263034672414434,0.6261307469406301,0.6315766006777244,0.6316165153576766,0.6312841733391322,0.5958177278401997,0.5838624818577649,0.5762680746689397
openml_41885_FOREX_chfsgd-hour-Close,0.5160016424226693,0.5158038277417163,0.5151927257264409,0.509202873989683,0.5091461368893595,0.5088370595402212,0.5156499402319807,0.5156500158851685,0.5155707650696626,0.5142663595422382,0.5142348694886071,0.5139950333859183,0.5133993170321565,0.5133854507189531,0.5132089558487779,,,,0.5116231246195492,0.5116202624052582,0.5115039345323261,0.5096103027232468,0.5084999940589365,0.5081151139056751,0.5147228484658847,0.5146915229602982,0.5144520115785984,0.5183352825471134,0.5183296806833486,0.5181920320141258,0.5108694882282626,0.5108483228241592,0.5106444190013486,,,,0.5118295992730342,0.5117753423070077,0.5114716059396585,,,,0.5126910691288284,0.4719893463067797,0.4356358164712628
openml_42345_Traffic_violations,0.8509924482779768,0.8505319341926533,0.8418299683067023,0.8479901035090217,0.8475805068390896,0.8390612899834926,0.8483668277494768,0.8479736785743701,0.8395718091482323,0.8497393894566864,0.8493895210037743,0.8413321471469553,0.8501268085370035,0.8491009692926791,0.8415494113232627,,,,0.8485743091364971,0.8481355973272633,0.8394676968607816,0.8350963239116873,0.8340247991991175,0.8241694499525939,0.850741029919651,0.8502462328252666,0.8413481633588201,0.8501095563861084,0.8497283433059728,0.8414707547542449,0.8508395987021243,0.850455585655212,0.8422064701736042,0.8509924482779768,0.8505319341926533,0.8418299683067023,0.8501605062447259,0.8497561001728083,0.8413533226015647,0.8496432927356614,0.8491687591978865,0.8403410263486238,0.8487086443911077,0.8461271169955825,0.839742486832153
openml_43900_amazon_employee_access,0.6383171140760364,0.6778915023971275,0.5350600876786078,0.6737891104867914,0.6944953085158738,0.6024402110215972,0.7051274929764029,0.7211832613529499,0.6514815662179138,0.6997457618065867,0.7211986172772096,0.6423334555882035,0.6814380481343403,0.7053055768155146,0.6136898350950194,0.701760225609691,0.7155580773091063,0.6470369467702158,0.6748180274107229,0.7039305138420344,0.6017433075422958,0.7359742770769018,0.6988305394874289,0.705106956140489,0.7038082317626826,0.7200496872611745,0.649504379363155,0.6719128753485093,0.7051408795962508,0.595900020843526,0.6877104675632658,0.7098262149826158,0.6239029661548873,0.6859290910450472,0.7017906249753346,0.6227643617007684,0.663025648147159,0.6928197645950641,0.5821283767898419,0.6807093031950691,0.7019836802524162,0.6132322180202504,0.65384807665602,0.6885726006611219,0.5648648962914518
openml_43901_click_prediction_small,0.5468639951545793,0.5514277519057403,0.38785327100957717,0.5628210804907444,0.5679684140851503,0.4563847447023539,0.5489112637557944,0.5509387651988208,0.44710981777032804,0.5527040257407375,0.5547975862493293,0.45430346004898847,0.5547037693633501,0.55995940396028,0.432551308912493,0.5580920372430138,0.5594224142232131,0.46862907081232846,0.542021877163884,0.545260803844978,0.37758977762402923,0.5826138066500264,0.5555751643158712,0.5609675094486721,0.5505535344533704,0.5527099554276687,0.449540953275266,0.5424689142417639,0.5458299392594398,0.3785357603738516,0.551809783652191,0.5567502400842618,0.42573054612240335,0.5483935269747636,0.5522758558705311,0.42773440988565065,0.5494804999247102,0.5539046059294713,0.42401910330772136,0.5440219006744741,0.5479141257206879,0.4062179159008151,0.5542331097401576,0.5604744919867932,0.4147683806515275
openml_43904_law-school-admission-bianry,0.6236943451162054,0.6296153604706431,0.5840128494303888,0.6371819536554895,0.6376864885592182,0.6229708810784251,0.637298967865833,0.6414273646937411,0.613851195373129,0.6346403361749431,0.638370707808296,0.6118295040918488,0.6364695436101637,0.640283056090547,0.613839550865914,0.6327853167815585,0.6359257129915155,0.6114228482108777,0.6317752088187415,0.6372226479628889,0.6009666535094796,0.6757536231385276,0.6499885839524995,0.6751833367078485,0.6353682333951673,0.639143810029076,0.6125897166941145,0.6303693174974102,0.6351266748288336,0.6023010499718549,0.6345009516008576,0.6380847265054375,0.6121327509607487,,,,0.6263994383317903,0.6297929603778681,0.6026536810966002,,,,0.6358930765445016,0.6391641536755032,0.6148044332278216
openml_43941_anneal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9896907216494846,0.9888392857142858,0.9896370260347827,0.9896907216494846,0.9888392857142858,0.9896370260347827,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openml_43977_jannis,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7535602639805488,0.7535531206065296,0.7535410313971896,0.7886418895449809,0.7883186650386227,0.7876732132353798,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7934178534213268,0.7931116993265326,0.7924847546303393,0.7678881556095867,0.7622526904420506,0.7522955720769614
openml_43_haberman,0.44429347826086957,0.4238383838383838,0.22722331478659644,0.4429347826086957,0.4373865698729582,0.3083969773719807,0.5054347826086957,0.5053763440860215,0.4361391879943235,0.483695652173913,0.48384948384948384,0.4234947769299599,0.4633152173913043,0.4623655913978495,0.3722726910770371,0.5475543478260869,0.5483870967741935,0.49453535504684026,0.422554347826087,0.40817105765559375,0.2211629342323457,0.5869565217391304,0.5698340874811463,0.5804795618616821,0.4633152173913043,0.4623655913978495,0.3722726910770371,0.485054347826087,0.4823956442831216,0.38306543884143684,0.5258152173913043,0.5251415251415251,0.4806019775963944,0.4741847826086957,0.4723404255319149,0.3777076163890012,0.49592391304347827,0.49255952380952384,0.38834934967282275,0.483695652173913,0.48384948384948384,0.4234947769299599,0.49592391304347827,0.49255952380952384,0.38834934967282275
openml_44033_electricity,0.9022751818924162,0.90226884155076,0.9022438048103422,0.89954608634749,0.8995402119594139,0.8995177936943839,0.9007154912405757,0.9007116494359105,0.9006974231326278,0.9003254419162919,0.9003231625291637,0.9003152898120251,0.9000658368672405,0.900060757779128,0.9000415304454218,,,,0.9042240099070096,0.9042222536383988,0.9042162079918438,0.8366464107626053,0.8366413358051976,0.8366258239783783,0.8897991766135774,0.8897962906042376,0.8897869528259491,0.9007155587932817,0.9007110457656925,0.9006940481063581,0.9000658368672405,0.900060757779128,0.9000415304454218,,,,0.9001957744971781,0.9001908846628606,0.900172417020744,,,,0.8956423843511184,0.8955397648475063,0.8950758091382854
openml_44035_KDDCup09_upselling,0.8222056549591341,0.8219633779084181,0.8212846671699072,0.8152552936350153,0.8150154859914985,0.8143729610958089,0.8073089242323834,0.8070286694166549,0.8063216652111133,0.8073010350594844,0.8068913297905991,0.8058812581440906,0.811281122787087,0.8110074597379608,0.8102988977541559,,,,0.8132711666508883,0.8130544693289095,0.8124768631539009,0.8053405755940547,0.8052608729970795,0.8050389211021135,0.8172394206191422,0.81697564521992,0.8162646546111801,0.8112771782006374,0.8109432187378955,0.8100895439807492,0.8172394206191422,0.81697564521992,0.8162646546111801,,,,0.818229511817981,0.8179244807644996,0.8171050743031493,0.8202254725614566,0.8200530559496413,0.8195634085478088,0.8151823187856986,0.8129374400767018,0.8075339885526818
